<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.19	00:00:00	2005.155	2005.869	1924.638	1927.748	169331	0	0
2020.08.20	00:00:00	1927.717	1955.078	1924.346	1952.707	160288	0	0
2020.08.21	00:00:00	1952.789	1955.744	1911.464	1940.113	141405	0	0
2020.08.23	00:00:00	1936.426	1938.261	1929.819	1935.019	5596	0	0
2020.08.24	00:00:00	1935.006	1961.712	1923.666	1929.749	117222	0	0
2020.08.25	00:00:00	1929.699	1937.326	1914.211	1929.596	115115	0	0
2020.08.26	00:00:00	1929.564	1954.680	1902.613	1953.415	120848	0	0
2020.08.27	00:00:00	1953.414	1976.439	1909.707	1928.053	145531	0	0
2020.08.28	00:00:00	1927.921	1973.742	1922.773	1964.591	110396	0	0
2020.08.30	00:00:00	1968.915	1975.843	1968.820	1973.073	6149	0	0
2020.08.31	00:00:00	1973.011	1976.279	1954.269	1967.705	105516	0	0
2020.09.01	00:00:00	1967.778	1992.297	1962.630	1972.465	134024	0	0
2020.09.02	00:00:00	1972.496	1973.171	1932.408	1944.680	142485	0	0
2020.09.03	00:00:00	1944.693	1950.736	1921.824	1927.772	145754	0	0
2020.09.04	00:00:00	1927.730	1948.158	1916.114	1933.518	141308	0	0
2020.09.06	00:00:00	1932.511	1937.574	1932.506	1934.348	4369	0	0
2020.09.07	00:00:00	1934.349	1941.118	1924.114	1930.578	69038	0	0
2020.09.08	00:00:00	1930.577	1940.722	1906.368	1930.233	136283	0	0
2020.09.09	00:00:00	1930.198	1950.741	1919.879	1947.264	105696	0	0
2020.09.10	00:00:00	1947.368	1966.486	1941.211	1943.839	95985	0	0
2020.09.11	00:00:00	1943.722	1954.698	1936.791	1939.938	75357	0	0
2020.09.13	00:00:00	1937.168	1943.020	1937.136	1942.747	3421	0	0
2020.09.14	00:00:00	1942.750	1962.387	1939.740	1957.196	67710	0	0
2020.09.15	00:00:00	1957.187	1972.102	1948.096	1953.851	75567	0	0
2020.09.16	00:00:00	1953.712	1973.421	1949.635	1959.642	89088	0	0
2020.09.17	00:00:00	1959.750	1959.858	1932.831	1947.081	88961	0	0
2020.09.18	00:00:00	1947.082	1959.913	1944.894	1950.013	70358	0	0
2020.09.20	00:00:00	1949.641	1950.829	1946.445	1948.398	3876	0	0
2020.09.21	00:00:00	1948.348	1955.412	1882.213	1917.104	108598	0	0
2020.09.22	00:00:00	1917.115	1919.502	1894.498	1904.223	105367	0	0
2020.09.23	00:00:00	1904.211	1905.083	1853.127	1854.816	119691	0	0
2020.09.24	00:00:00	1854.688	1876.977	1848.076	1867.664	115833	0	0
2020.09.25	00:00:00	1867.544	1874.995	1851.922	1861.155	90867	0	0
2020.09.27	00:00:00	1862.899	1865.865	1860.887	1862.341	3712	0	0
2020.09.28	00:00:00	1862.376	1883.493	1848.204	1882.594	89143	0	0
2020.09.29	00:00:00	1882.546	1899.263	1875.167	1896.775	81565	0	0
2020.09.30	00:00:00	1896.760	1902.169	1881.332	1887.634	100285	0	0
2020.10.01	00:00:00	1887.621	1912.109	1884.618	1903.161	95872	0	0
2020.10.02	00:00:00	1903.158	1916.982	1889.744	1898.723	96122	0	0
2020.10.04	00:00:00	1903.345	1904.290	1898.045	1902.902	4528	0	0
2020.10.05	00:00:00	1902.894	1918.623	1886.933	1912.687	76113	0	0
2020.10.06	00:00:00	1912.683	1921.032	1874.761	1880.067	96350	0	0
2020.10.07	00:00:00	1880.114	1897.899	1872.840	1886.948	88639	0	0
2020.10.08	00:00:00	1886.918	1900.527	1881.839	1895.177	80425	0	0
2020.10.09	00:00:00	1895.168	1930.444	1894.872	1930.147	72824	0	0
2020.10.11	00:00:00	1926.646	1933.178	1926.617	1929.087	5284	0	0
2020.10.12	00:00:00	1929.109	1931.899	1918.214	1925.059	78915	0	0
2020.10.13	00:00:00	1925.013	1925.013	1886.399	1893.336	94318	0	0
2020.10.14	00:00:00	1893.287	1912.786	1882.401	1898.178	83047	0	0
2020.10.15	00:00:00	1898.180	1908.971	1889.438	1906.307	92834	0	0
2020.10.16	00:00:00	1906.360	1913.878	1897.747	1898.825	77152	0	0
2020.10.18	00:00:00	1899.865	1902.928	1898.642	1900.779	3889	0	0
2020.10.19	00:00:00	1900.732	1918.390	1896.993	1902.952	78493	0	0
2020.10.20	00:00:00	1902.960	1914.025	1894.593	1910.682	80886	0	0
2020.10.21	00:00:00	1910.677	1931.281	1910.050	1921.292	84408	0	0
2020.10.22	00:00:00	1921.247	1922.150	1893.982	1904.989	79913	0	0
2020.10.23	00:00:00	1904.943	1914.153	1894.332	1901.602	69529	0	0
2020.10.25	00:00:00	1901.513	1902.021	1891.277	1898.453	5738	0	0
2020.10.26	00:00:00	1898.476	1908.478	1894.839	1902.156	78770	0	0
2020.10.27	00:00:00	1902.102	1911.271	1897.779	1905.187	68549	0	0
2020.10.28	00:00:00	1905.188	1910.770	1869.262	1879.542	92294	0	0
2020.10.29	00:00:00	1879.547	1884.871	1859.815	1868.359	93433	0	0
2020.10.30	00:00:00	1868.353	1889.683	1864.356	1878.858	86823	0	0
2020.11.01	00:00:00	1879.301	1879.301	1875.215	1877.049	2326	0	0
2020.11.02	00:00:00	1877.000	1896.112	1873.364	1894.658	71622	0	0
2020.11.03	00:00:00	1894.660	1916.211	1886.897	1914.392	74385	0	0
2020.11.04	00:00:00	1914.398	1916.311	1881.432	1904.790	140403	0	0
2020.11.05	00:00:00	1904.788	1952.651	1902.405	1946.123	97049	0	0
2020.11.06	00:00:00	1946.169	1960.238	1935.574	1951.855	95216	0	0
2020.11.08	00:00:00	1957.117	1959.741	1955.222	1958.496	2833	0	0
2020.11.09	00:00:00	1958.449	1965.419	1850.423	1870.837	151981	0	0
2020.11.10	00:00:00	1870.883	1890.315	1867.351	1876.657	99565	0	0
2020.11.11	00:00:00	1876.620	1884.333	1856.273	1865.515	80382	0	0
2020.11.12	00:00:00	1865.559	1883.734	1862.647	1875.740	76610	0	0
2020.11.13	00:00:00	1875.733	1896.728	1873.937	1889.358	66423	0	0
2020.11.15	00:00:00	1887.920	1891.535	1887.778	1890.357	2038	0	0
2020.11.16	00:00:00	1890.413	1899.000	1865.134	1889.757	83608	0	0
2020.11.17	00:00:00	1889.711	1893.378	1876.901	1882.577	69493	0	0
2020.11.18	00:00:00	1882.527	1884.719	1863.631	1871.332	77983	0	0
2020.11.19	00:00:00	1871.281	1872.743	1852.547	1863.101	83336	0	0
2020.11.20	00:00:00	1863.156	1879.697	1860.858	1870.923	72255	0	0
2020.11.22	00:00:00	1870.778	1872.086	1870.128	1872.049	1224	0	0
2020.11.23	00:00:00	1872.050	1875.988	1830.810	1835.567	81157	0	0
2020.11.24	00:00:00	1835.614	1836.234	1800.174	1809.110	98240	0	0
2020.11.25	00:00:00	1809.056	1817.625	1801.594	1808.131	79052	0	0
2020.11.26	00:00:00	1808.175	1818.211	1805.714	1809.176	49474	0	0
2020.11.27	00:00:00	1809.180	1813.698	1774.248	1786.786	69866	0	0
2020.11.29	00:00:00	1789.439	1789.747	1785.301	1786.606	1472	0	0
2020.11.30	00:00:00	1786.561	1787.351	1764.160	1778.707	92821	0	0
2020.12.01	00:00:00	1778.729	1817.205	1776.740	1811.217	81247	0	0
2020.12.02	00:00:00	1811.170	1832.344	1807.415	1830.598	80597	0	0
2020.12.03	00:00:00	1830.597	1843.846	1823.686	1839.765	80436	0	0
2020.12.04	00:00:00	1839.771	1847.886	1828.964	1839.010	75739	0	0
2020.12.06	00:00:00	1836.608	1837.985	1832.954	1835.276	2197	0	0
2020.12.07	00:00:00	1835.282	1868.386	1822.609	1863.919	79596	0	0
